model,device,workers,runs,median_wall_seconds
ABM,CPU,1,1,1414.762
ABM,CPU,1,2,2863.286
ABM,CPU,1,4,5815.222
ABM,CPU,1,8,10770.257
ABM,CPU,1,16,22366.091
ABM,CPU,2,1,1545.513
ABM,CPU,2,2,1687.206
ABM,CPU,2,4,3276.371
ABM,CPU,2,8,5662.016
ABM,CPU,2,16,11622.719
ABM,CPU,4,1,1771.020
ABM,CPU,4,2,1758.972
ABM,CPU,4,4,1812.656
ABM,CPU,4,8,3336.740
ABM,CPU,4,16,6917.533
LSTM,CPU,1,1,0.022
LSTM,CPU,1,2,0.045
LSTM,CPU,1,4,0.089
LSTM,CPU,1,8,0.175
LSTM,CPU,1,16,0.371
LSTM,CPU,1,32,0.782
LSTM,CPU,1,64,1.441
LSTM,CPU,1,128,2.884
LSTM,CPU,1,256,5.723
LSTM,CPU,1,512,11.295
LSTM,CPU,2,1,2.289
LSTM,CPU,2,2,4.578
LSTM,CPU,2,4,5.314
LSTM,CPU,2,8,5.293
LSTM,CPU,2,16,5.414
LSTM,CPU,2,32,5.637
LSTM,CPU,2,64,6.190
LSTM,CPU,2,128,6.811
LSTM,CPU,2,256,8.827
LSTM,CPU,2,512,12.688
LSTM,CPU,4,1,2.832
LSTM,CPU,4,2,4.696
LSTM,CPU,4,4,5.672
LSTM,CPU,4,8,6.158
LSTM,CPU,4,16,6.362
LSTM,CPU,4,32,6.470
LSTM,CPU,4,64,6.668
LSTM,CPU,4,128,7.038
LSTM,CPU,4,256,8.096
LSTM,CPU,4,512,10.379
LSTM,CPU,8,1,2.340
LSTM,CPU,8,2,4.679
LSTM,CPU,8,4,5.747
LSTM,CPU,8,8,8.001
LSTM,CPU,8,16,9.261
LSTM,CPU,8,32,9.089
LSTM,CPU,8,64,8.938
LSTM,CPU,8,128,9.289
LSTM,CPU,8,256,9.713
LSTM,CPU,8,512,11.092
LSTM,CPU,16,1,2.530
LSTM,CPU,16,2,5.026
LSTM,CPU,16,4,6.257
LSTM,CPU,16,8,8.520
LSTM,CPU,16,16,14.582
LSTM,CPU,16,32,15.773
LSTM,CPU,16,64,15.503
LSTM,CPU,16,128,15.678
LSTM,CPU,16,256,16.148
LSTM,CPU,16,512,17.059
LSTM,GPU,1,1,0.012
LSTM,GPU,1,2,0.029
LSTM,GPU,1,4,0.056
LSTM,GPU,1,8,0.092
LSTM,GPU,1,16,0.168
LSTM,GPU,1,32,0.333
LSTM,GPU,1,64,0.666
LSTM,GPU,1,128,1.326
LSTM,GPU,1,256,2.716
LSTM,GPU,1,512,5.358
